,genre_ids,original_title,release_date,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,release_year
Dinner for Schmucks,[35],Dinner for Schmucks,2010-07-30,69000000.0,73026337.0,86796502.0,1.0583527101449275,1.2579203188405796,2010
Dirty Grandpa,[35],Dirty Grandpa,2016-01-22,11500000.0,35593113.0,105078449.0,3.095053304347826,9.137256434782609,2016
Divergent,"[28, 12, 878]",Divergent,2014-03-21,85000000.0,150947895.0,276014965.0,1.775857588235294,3.247234882352941,2014
Django Unchained,"[18, 37]",Django Unchained,2012-12-25,100000000.0,162805434.0,449948323.0,1.62805434,4.49948323,2012
Do You Believe?,"[14, 18]",Do You Believe?,2015-03-20,2300000.0,12985600.0,14304931.0,5.645913043478261,6.2195352173913045,2015
Doc Holliday's Revenge,[37],Doc Holliday's Revenge,2014-12-31,1000000.0,0.0,0.0,0.0,0.0,2014
Doctor Strange,"[28, 12, 14, 878]",Doctor Strange,2016-11-04,165000000.0,232641920.0,676404566.0,1.4099510303030303,4.099421612121212,2016
Doctor Strange,"[28, 12, 14, 878]",Doctor Strange,2016-11-04,165000000.0,232641920.0,676404566.0,1.4099510303030303,4.099421612121212,2016
Dolphin Tale,"[18, 10751]",Dolphin Tale,2011-09-23,37000000.0,72286779.0,96068724.0,1.9536967297297296,2.596452,2011
Dolphin Tale 2,"[10751, 18]",Dolphin Tale 2,2014-09-12,36000000.0,42024533.0,57824533.0,1.1673481388888889,1.6062370277777778,2014
Dom Hemingway,"[35, 80, 18]",Dom Hemingway,2014-04-02,7000000.0,523511.0,1857458.0,0.07478728571428571,0.26535114285714284,2014
Don Jon,"[10749, 35, 18]",Don Jon,2013-09-27,5500000.0,24477704.0,41268579.0,4.450491636363636,7.503378,2013
Don't Be Afraid of the Dark,"[14, 27, 53]",Don't Be Afraid of the Dark,2011-08-26,25000000.0,24046682.0,39126427.0,0.96186728,1.56505708,2011
Dope,"[80, 18, 35]",Dope,2015-06-19,7000000.0,17506470.0,18190831.0,2.500924285714286,2.598690142857143,2015
Down and Dangerous,"[80, 53, 18]",Down and Dangerous,2014-02-14,50000.0,0.0,0.0,0.0,0.0,2014
Down for Life,[18],Down for Life,2011-01-14,3800000.0,41914.0,41914.0,0.01103,0.01103,2011
Downsizing,"[35, 18, 878]",Downsizing,2017-12-22,68000000.0,24449754.0,54462971.0,0.35955520588235296,0.800926044117647,2017
Downsizing,"[35, 18, 878]",Downsizing,2017-12-22,68000000.0,24449754.0,54462971.0,0.35955520588235296,0.800926044117647,2017
Dracula Untold,"[27, 28, 18, 14, 10752]",Dracula Untold,2014-10-10,70000000.0,55991880.0,220241723.0,0.799884,3.1463103285714284,2014
Draft Day,[18],Draft Day,2014-04-11,25000000.0,28842237.0,29847480.0,1.15368948,1.1938992,2014
Dragon Ball Super: Broly,"[28, 16, 14, 12, 35, 878]",ドラゴンボール超スーパー ブロリー,2019-01-16,8500000.0,30376755.0,122747755.0,3.573735882352941,14.440912352941176,2019
Dragonfly,[18],Dragonfly,2002-02-22,60000000.0,30063805.0,30063805.0,0.5010634166666667,0.5010634166666667,2002
Dragonslayer,[99],Dragonslayer,1981-06-26,18000000.0,6000000.0,6000000.0,0.3333333333333333,0.3333333333333333,1981
Dream House,"[18, 53, 9648]",Dream House,2011-09-30,50000000.0,21302340.0,41642166.0,0.4260468,0.83284332,2011
Dreamcatcher,[99],Dreamcatcher,2003-03-21,68000000.0,33685268.0,75685268.0,0.4953715882352941,1.1130186470588235,2003
Dreamcatcher,[18],Dreamcatcher,2003-03-21,68000000.0,33685268.0,75685268.0,0.4953715882352941,1.1130186470588235,2003
Dredd,"[28, 878]",Dredd,2012-09-21,45000000.0,13414714.0,41467606.0,0.29810475555555555,0.9215023555555556,2012
Dressed to Kill,"[9648, 53]",Dressed to Kill,1980-01-01,6500000.0,31899000.0,31899000.0,4.907538461538461,4.907538461538461,1980
Drinking Buddies,"[10749, 18]",Drinking Buddies,2013-08-23,500000.0,343706.0,407100.0,0.687412,0.8142,2013
Drive,"[18, 28, 53, 80]",Drive,2011-09-16,15000000.0,35060689.0,81357930.0,2.337379266666667,5.423862,2011
Drive Angry,"[14, 53, 28, 80]",Drive Angry,2011-02-25,50000000.0,10721033.0,41042583.0,0.21442066,0.82085166,2011
Drive Hard,"[28, 35, 80]",Drive Hard,2014-10-03,12000000.0,0.0,0.0,0.0,0.0,2014
Driving Miss Daisy,[],Driving Miss Daisy,1989-12-13,7500000.0,106593296.0,106593296.0,14.212439466666666,14.212439466666666,1989
Drones,"[35, 878]",Drones,2010-12-31,500000.0,0.0,0.0,0.0,0.0,2010
Drones,[53],Drones,2010-12-31,500000.0,0.0,0.0,0.0,0.0,2010
Drunk Wedding,[35],Drunk Wedding,2015-05-22,600000.0,3301.0,3301.0,0.005501666666666667,0.005501666666666667,2015
Dry Spell,"[35, 10749]",Dry Spell,2014-12-31,22000.0,0.0,0.0,0.0,0.0,2014
Due Date,"[35, 18]",Due Date,2010-11-05,65000000.0,100539043.0,211739043.0,1.5467545076923077,3.2575237384615385,2010
Dum Maaro Dum,"[18, 28, 80]",दम मारो दम,2011-04-22,5200000.0,564489.0,11633427.0,0.10855557692307692,2.2371975,2011
Dumb and Dumber To,[35],Dumb and Dumber To,2014-11-14,40000000.0,86208010.0,156553592.0,2.15520025,3.9138398,2014
Dunkirk,"[10752, 28, 18]",Dunkirk,2017-07-21,150000000.0,190068280.0,499837368.0,1.2671218666666666,3.33224912,2017
Dwegons and Leprechauns,[16],Dwegons and Leprechauns,2014-08-29,20000000.0,0.0,0.0,0.0,0.0,2014
Dying of the Light,"[53, 18]",Dying of the Light,2014-12-05,5000000.0,0.0,74639.0,0.0,0.0149278,2014
Dylan Dog: Dead of Night,"[28, 35, 27, 9648, 878, 53]",Dylan Dog: Dead of Night,2011-04-29,20000000.0,1186538.0,6093725.0,0.0593269,0.30468625,2011
Dysfunctional Friends,"[35, 10749]",Dysfunctional Friends,2012-02-03,1800000.0,0.0,0.0,0.0,0.0,2012
Early Man,"[10751, 35, 16, 12]",Early Man,2018-02-16,50000000.0,8267544.0,45285890.0,0.16535088,0.9057178,2018
Earth to Echo,"[10751, 12, 878]",Earth to Echo,2014-07-02,13000000.0,38934842.0,42174545.0,2.994987846153846,3.2441957692307692,2014
Easy A,[35],Easy A,2010-09-17,8000000.0,58401464.0,76200721.0,7.300183,9.525090125,2010
Eat Pray Love,[18],Eat Pray Love,2010-08-13,60000000.0,80574010.0,206598789.0,1.3429001666666667,3.44331315,2010
Echo Dr.,"[53, 28, 18, 878]",Echo Dr.,2014-06-10,100000.0,0.0,0.0,0.0,0.0,2014
Eddie the Eagle,"[35, 18, 36, 12]",Eddie the Eagle,2016-02-26,23000000.0,15789389.0,45060480.0,0.6864951739130435,1.9591513043478261,2016
Eddie: The Sleepwalking Cannibal,"[27, 35]",Eddie: The Sleepwalking Cannibal,2013-04-05,1400000.0,1632.0,1632.0,0.0011657142857142858,0.0011657142857142858,2013
Eden,[18],Eden,2016-01-19,2300000.0,0.0,0.0,0.0,0.0,2016
Eden,"[18, 10402]",Eden,2016-01-19,2300000.0,0.0,0.0,0.0,0.0,2016
Eden,[],Eden,2016-01-19,2300000.0,0.0,0.0,0.0,0.0,2016
Eden,"[18, 10402]",Eden,2016-01-19,2300000.0,0.0,0.0,0.0,0.0,2016
Eden,"[53, 18]",Eden,2016-01-19,2300000.0,0.0,0.0,0.0,0.0,2016
Eden,"[18, 10402]",Eden,2016-01-19,2300000.0,0.0,0.0,0.0,0.0,2016
Eden,[],Eden,2016-01-19,2300000.0,0.0,0.0,0.0,0.0,2016
Edge of Darkness,"[80, 18, 9648, 53]",Edge of Darkness,2010-01-29,60000000.0,43313890.0,82812456.0,0.7218981666666666,1.3802076,2010
Edge of Darkness,[99],Edge of Darkness,2010-01-29,60000000.0,43313890.0,82812456.0,0.7218981666666666,1.3802076,2010
Edge of Tomorrow,"[28, 878]",Edge of Tomorrow,2014-06-06,178000000.0,100206256.0,370541256.0,0.5629564943820224,2.081692449438202,2014
Eighth Grade,"[35, 18]",Eighth Grade,2018-07-13,2000000.0,13539710.0,14341016.0,6.769855,7.170508,2018
El Chicano,"[18, 28, 80]",El Chicano,2019-05-03,8000000.0,700261.0,700261.0,0.087532625,0.087532625,2019
Elektra,[],Elektra,2005-01-14,65000000.0,24409722.0,56824633.0,0.3755341846153846,0.8742251230769231,2005
Elsa & Fred,"[35, 10751, 10749, 18]",Elsa & Fred,2014-11-07,10000000.0,67657.0,197901.0,0.0067657,0.0197901,2014
Elysium,"[878, 28, 18, 53]",Elysium,2013-08-09,120000000.0,93050117.0,286192091.0,0.7754176416666667,2.3849340916666666,2013
Emily,[18],Emily,2017-01-27,27000.0,3547.0,3547.0,0.13137037037037036,0.13137037037037036,2017
Emma,[18],Emma,1996-08-02,5900000.0,22231658.0,37831658.0,3.768077627118644,6.412145423728814,1996
Emma,"[53, 27]",Emma,1996-08-02,5900000.0,22231658.0,37831658.0,3.768077627118644,6.412145423728814,1996
Emma,"[53, 27]",Emma,1996-08-02,5900000.0,22231658.0,37831658.0,3.768077627118644,6.412145423728814,1996
Empire,[],Empire,2002-12-06,3500000.0,17504595.0,18495444.0,5.001312857142858,5.284412571428572,2002
End of Watch,"[80, 18, 53]",End of Watch,2012-09-21,15000000.0,41003371.0,57586606.0,2.733558066666667,3.8391070666666667,2012
Ender's Game,"[878, 28, 12]",Ender's Game,2013-11-01,110000000.0,61737191.0,127983283.0,0.5612471909090909,1.1634843909090908,2013
Endless Love,"[18, 10749]",Endless Love,2014-02-14,20000000.0,23438250.0,34718173.0,1.1719125,1.73590865,2014
Enough,"[35, 16]",Enough,2002-05-24,38000000.0,39177215.0,50970660.0,1.030979342105263,1.341333157894737,2002
Enough Said,"[35, 18, 10749]",Enough Said,2013-09-18,8000000.0,17550872.0,25621449.0,2.193859,3.202681125,2013
Enter Nowhere,"[9648, 878, 53]",Enter Nowhere,2012-04-03,500000.0,0.0,0.0,0.0,0.0,2012
Enter Nowhere,"[9648, 878, 53]",Enter Nowhere,2012-04-03,500000.0,0.0,0.0,0.0,0.0,2012
Enter the Dangerous Mind,[53],Enter the Dangerous Mind,2015-02-06,3000000.0,0.0,0.0,0.0,0.0,2015
Enter the Void,"[14, 18]",Enter the Void,2010-09-24,16000000.0,337997.0,1467278.0,0.0211248125,0.091704875,2010
Entourage,[35],Entourage,2015-06-03,30000000.0,32363404.0,46438538.0,1.0787801333333333,1.5479512666666666,2015
Epic,"[16, 12, 10751, 14]",Epic,2013-05-24,100000000.0,107518682.0,262794441.0,1.07518682,2.62794441,2013
Escape Plan,"[28, 53]",Escape Plan,2013-10-18,70000000.0,25135965.0,103735965.0,0.35908521428571427,1.4819423571428572,2013
Escape from Tomorrow,"[27, 14]",Escape from Tomorrow,2013-10-11,650000.0,171962.0,171962.0,0.2645569230769231,0.2645569230769231,2013
Escobar: Paradise Lost,"[53, 10749]",Escobar: Paradise Lost,2015-06-26,17000000.0,195792.0,3917679.0,0.011517176470588236,0.23045170588235295,2015
Everest,"[12, 18]",Everest,2015-09-18,65000000.0,43482270.0,221297061.0,0.668958,3.404570169230769,2015
Everest,"[12, 18]",Everest,2015-09-18,65000000.0,43482270.0,221297061.0,0.668958,3.404570169230769,2015
Everybody's Fine,[18],一切都好,2009-12-04,20000000.0,9208876.0,9208876.0,0.4604438,0.4604438,2009
Everything Must Go,"[35, 18, 10749]",Everything Must Go,2011-05-13,5000000.0,2712131.0,2821010.0,0.5424262,0.564202,2011
"Everything, Everything","[18, 10749]","Everything, Everything",2017-05-19,10000000.0,34121140.0,61603136.0,3.412114,6.1603136,2017
Evil Dead,[27],Evil Dead,2013-04-05,17000000.0,54239856.0,97778356.0,3.1905797647058822,5.751668,2013
Evolution,"[9648, 18, 27]",Évolution,2001-06-08,80000000.0,38311134.0,98341932.0,0.478889175,1.22927415,2001
Evolution,"[9648, 18, 27]",Évolution,2001-06-08,80000000.0,38311134.0,98341932.0,0.478889175,1.22927415,2001
Ex Machina,"[18, 878]",Ex Machina,2015-04-10,13000000.0,25440971.0,38358392.0,1.9569977692307692,2.9506455384615387,2015
Executive Decision,"[28, 12, 18, 53]",Executive Decision,1996-03-15,55000000.0,56679192.0,122079192.0,1.0305307636363636,2.2196216727272726,1996
Exeter,"[53, 27]",Exeter,2015-09-01,25000.0,0.0,489792.0,0.0,19.59168,2015
Exodus: Gods and Kings,"[12, 18, 28]",Exodus: Gods and Kings,2014-12-12,140000000.0,65014513.0,268314513.0,0.4643893785714286,1.9165322357142858,2014
Extraordinary Measures,[18],Extraordinary Measures,2010-01-22,31000000.0,12482741.0,15826984.0,0.40266906451612905,0.5105478709677419,2010
Eye in the Sky,"[18, 53, 10752]",Eye in the Sky,2016-03-11,13000000.0,18704596.0,35402802.0,1.438815076923077,2.7232924615384615,2016
Fahrenheit 11/9,[99],Fahrenheit 11/9,2018-09-21,5000000.0,6352306.0,6653715.0,1.2704612,1.330743,2018
Fair Game,"[18, 53]",Fair Game,1995-11-03,50000000.0,11497497.0,26097497.0,0.22994994,0.52194994,1995
Faith Connections,"[99, 18]",Faith Connections,2014-09-12,550000.0,9111.0,9111.0,0.016565454545454546,0.016565454545454546,2014
Falcon Rising,"[12, 28]",Falcon Rising,2014-09-04,4500000.0,11774.0,11774.0,0.0026164444444444442,0.0026164444444444442,2014
Fantastic Beasts and Where to Find Them,"[12, 10751, 14]",Fantastic Beasts and Where to Find Them,2016-11-18,180000000.0,234037575.0,802402853.0,1.30020875,4.457793627777778,2016
Fantastic Beasts and Where to Find Them,"[12, 10751, 14]",Fantastic Beasts and Where to Find Them,2016-11-18,180000000.0,234037575.0,802402853.0,1.30020875,4.457793627777778,2016
Fantastic Beasts: The Crimes of Grindelwald,[12],Fantastic Beasts: The Crimes of Grindelwald,2018-11-16,200000000.0,159555901.0,652220086.0,0.797779505,3.26110043,2018
Fantastic Four,"[28, 12, 878]",Fantastic Four,2015-08-07,120000000.0,56117548.0,167849187.0,0.4676462333333333,1.398743225,2015
Fantastic Four,"[28, 12, 878]",Fantastic Four,2005-07-08,87500000.0,154696080.0,333132750.0,1.7679552,3.8072314285714284,2005
Fast Five,"[28, 53, 80]",Fast Five,2011-04-29,125000000.0,210031325.0,630163454.0,1.6802506,5.041307632,2011
Fast Times at Ridgemont High,"[35, 18]",Fast Times at Ridgemont High,1982-08-13,4500000.0,27092880.0,27092880.0,6.02064,6.02064,1982
Faster,"[80, 18, 28, 53]",Faster,2010-11-24,24000000.0,23240020.0,35792945.0,0.9683341666666667,1.4913727083333332,2010
"Fat, Sick & Nearly Dead",[99],"Fat, Sick & Nearly Dead",2011-04-01,2600000.0,0.0,0.0,0.0,0.0,2011
Father Figures,[35],Father Figures,2017-12-22,25000000.0,17501244.0,21038441.0,0.70004976,0.84153764,2017
Father Figures,[35],Father Figures,2017-12-22,25000000.0,17501244.0,21038441.0,0.70004976,0.84153764,2017
Father's Day,"[28, 35, 27]",Father's Day,1997-05-09,85000000.0,28681080.0,35681080.0,0.33742447058823527,0.4197774117647059,1997
Fear Clinic,[27],Fear Clinic,2015-02-10,1000000.0,0.0,0.0,0.0,0.0,2015
Feast,"[16, 35, 18, 10751]",Feast,2006-09-22,3200000.0,56131.0,690872.0,0.0175409375,0.2158975,2006
Fences,[18],Fences,2016-12-16,24000000.0,57682904.0,64282881.0,2.4034543333333334,2.678453375,2016
Fences,[18],Fences,2016-12-16,24000000.0,57682904.0,64282881.0,2.4034543333333334,2.678453375,2016
Ferdinand,"[16, 10751, 12, 35]",Ferdinand,2017-12-15,111000000.0,84410380.0,289847930.0,0.7604538738738739,2.6112426126126125,2017
Ferdinand,"[16, 10751, 12, 35]",Ferdinand,2017-12-15,111000000.0,84410380.0,289847930.0,0.7604538738738739,2.6112426126126125,2017
Fifty Shades Darker,"[18, 10749]",Fifty Shades Darker,2017-02-10,55000000.0,114434010.0,381398492.0,2.0806183636363635,6.934518036363636,2017
Fifty Shades Freed,"[18, 10749]",Fifty Shades Freed,2018-02-09,55000000.0,100407760.0,371350619.0,1.8255956363636363,6.751829436363637,2018
Fifty Shades of Black,"[10749, 35]",Fifty Shades of Black,2016-01-29,5000000.0,11686940.0,22113075.0,2.337388,4.422615,2016
Fifty Shades of Grey,"[18, 10749, 53]",Fifty Shades of Grey,2015-02-13,40000000.0,166167230.0,570998101.0,4.15418075,14.274952525,2015
Fight Valley,"[28, 18]",Fight Valley,2016-07-22,20000000.0,0.0,0.0,0.0,0.0,2016
Fight to the Finish,"[10749, 28]",Fight to the Finish,2015-12-31,500000.0,0.0,0.0,0.0,0.0,2015
Filly Brown,[18],Filly Brown,2013-04-19,1250000.0,2850357.0,2940411.0,2.2802856,2.3523288,2013
Final Destination 5,"[27, 9648]",Final Destination 5,2011-08-12,40000000.0,42587643.0,155011165.0,1.064691075,3.875279125,2011
Finding Dory,"[12, 16, 35, 10751]",Finding Dory,2016-06-17,200000000.0,486295561.0,1021215193.0,2.431477805,5.106075965,2016
Fireflies in the Garden,[18],Fireflies in the Garden,2011-10-14,8000000.0,36884.0,3587191.0,0.0046105,0.448398875,2011
First Man,"[36, 18]",First Man,2018-10-12,60000000.0,44936545.0,105203825.0,0.7489424166666667,1.7533970833333334,2018
First Reformed,[18],First Reformed,2018-05-18,3500000.0,3448256.0,3874772.0,0.985216,1.1070777142857142,2018
Fist Fight,[35],Fist Fight,2017-02-17,25000000.0,32187017.0,40286416.0,1.28748068,1.61145664,2017
Flatliners,"[18, 878]",Flatliners,1990-08-10,26000000.0,61308153.0,61308153.0,2.3580058846153844,2.3580058846153844,1990
Flatliners,"[18, 878]",Flatliners,2017-09-29,20000000.0,16883115.0,45173738.0,0.84415575,2.2586869,2017
Flight,[18],Flight,2012-11-02,31000000.0,93772375.0,160558438.0,3.0249153225806453,5.179304451612904,2012
Flipped,"[10749, 18]",Flipped,2010-08-06,14000000.0,1755212.0,4289993.0,0.12537228571428571,0.3064280714285714,2010
Flipped,"[18, 53]",Flipped,2010-08-06,14000000.0,1755212.0,4289993.0,0.12537228571428571,0.3064280714285714,2010
Florence Foster Jenkins,"[35, 18]",Florence Foster Jenkins,2016-08-12,29000000.0,27383770.0,56000339.0,0.9442679310344828,1.931046172413793,2016
Focus,"[10749, 35, 80, 18]",Focus,2015-02-27,65000000.0,53862963.0,168065700.0,0.8286609692307693,2.585626153846154,2015
Foodfight!,"[16, 28, 35, 10751]",Foodfight!,2012-12-31,45000000.0,0.0,73706.0,0.0,0.0016379111111111111,2012
Footloose,"[18, 10402, 10749]",Footloose,2011-10-14,24000000.0,51802742.0,62989834.0,2.1584475833333334,2.6245764166666667,2011
Footloose,"[18, 10402, 10749]",Footloose,1984-02-17,8200000.0,80000000.0,80000000.0,9.75609756097561,9.75609756097561,1984
For Colored Girls,[18],For Colored Girls,2010-11-05,21000000.0,37729698.0,38017873.0,1.7966522857142857,1.8103749047619047,2010
For Greater Glory: The True Story of Cristiada,"[36, 18]",For Greater Glory: The True Story of Cristiada,2012-06-01,12000000.0,5669081.0,10026255.0,0.47242341666666665,0.83552125,2012
For Your Consideration,[],For Your Consideration,2006-11-17,12000000.0,5549923.0,5549923.0,0.46249358333333335,0.46249358333333335,2006
Foreign Letters,[],Foreign Letters,2012-03-31,40000.0,0.0,0.0,0.0,0.0,2012
Forever My Girl,"[10749, 18, 10402]",Forever My Girl,2018-01-19,3500000.0,16376066.0,16376066.0,4.678876,4.678876,2018
Forsaken,"[18, 37]",Forsaken,2016-02-19,18000000.0,0.0,0.0,0.0,0.0,2016
Forsaken,[27],Forsaken,2016-02-19,18000000.0,0.0,0.0,0.0,0.0,2016
Forsaken,[53],Forsaken,2016-02-19,18000000.0,0.0,0.0,0.0,0.0,2016
Fort McCoy,"[10752, 18, 36]",Fort McCoy,2014-08-15,3000000.0,78948.0,78948.0,0.026316,0.026316,2014
Fortress,"[28, 10752]",Fortress,1993-09-03,12000000.0,6730578.0,46730578.0,0.5608815,3.8942148333333333,1993
Four Lions,"[35, 80, 18]",Four Lions,2010-11-05,3750000.0,310007.0,2436111.0,0.08266853333333334,0.6496296,2010
Frances Ha,"[35, 18]",Frances Ha,2013-05-17,3000000.0,4067398.0,11262769.0,1.3557993333333334,3.754256333333333,2013
Frances Ha,"[35, 18]",Frances Ha,2013-05-17,3000000.0,4067398.0,11262769.0,1.3557993333333334,3.754256333333333,2013
Frankenstein,"[27, 53]",Frankenstein,1994-11-04,45000000.0,22006296.0,112006296.0,0.4890288,2.4890288,1994
Frankenweenie,"[16, 35, 10751]",Frankenweenie,2012-10-05,39000000.0,35287788.0,81150788.0,0.9048150769230769,2.0807894358974357,2012
Freakonomics,[99],Freakonomics,2010-10-01,2900000.0,101270.0,172867.0,0.034920689655172414,0.05960931034482759,2010
Freaks of Nature,"[878, 35, 27]",Freaks of Nature,2015-10-30,33000000.0,70958.0,70958.0,0.0021502424242424243,0.0021502424242424243,2015
Freaks of Nature,"[878, 35, 27]",Freaks of Nature,2015-10-30,33000000.0,70958.0,70958.0,0.0021502424242424243,0.0021502424242424243,2015
Freaky Deaky,[35],Freaky Deaky,2011-12-31,6000000.0,0.0,0.0,0.0,0.0,2011
Freaky Friday,"[10402, 10751, 14, 10770, 35]",Freaky Friday,2003-08-06,26000000.0,110222438.0,160822438.0,4.239324538461538,6.185478384615385,2003
Free Birds,"[16, 35, 10751]",Free Birds,2013-11-01,55000000.0,55750480.0,110387072.0,1.0136450909090908,2.0070376727272725,2013
Free Fire,"[28, 80, 9648]",Free Fire,2017-04-21,10000000.0,1799322.0,3793739.0,0.1799322,0.3793739,2017
Free State of Jones,"[28, 18, 36, 10752]",Free State of Jones,2016-06-24,50000000.0,20810036.0,23237252.0,0.41620072,0.46474504,2016
Freeheld,"[10749, 18]",Freeheld,2015-10-02,7000000.0,546201.0,1732228.0,0.07802871428571428,0.24746114285714285,2015
Frenzy,"[27, 53, 10770]",Frenzy,1972-06-21,3500000.0,12600000.0,12600000.0,3.6,3.6,1972
Frequency,"[80, 18, 878, 53]",Frequency,2000-04-28,31000000.0,44983704.0,68079671.0,1.4510872258064516,2.1961184193548386,2000
Friend Request,[53],Friend Request,2017-09-22,9900000.0,3759078.0,11310835.0,0.3797048484848485,1.142508585858586,2017
Friend Request,"[27, 53]",Unfriend,2017-09-22,9900000.0,3759078.0,11310835.0,0.3797048484848485,1.142508585858586,2017
Friends with Benefits,"[10749, 35]",Friends with Benefits,2011-07-22,35000000.0,55802754.0,146595891.0,1.5943644,4.188454028571429,2011
Fright Night,"[27, 35]",Fright Night,2011-08-19,30000000.0,18298649.0,40520649.0,0.6099549666666667,1.3506883,2011
From Dusk Till Dawn,"[27, 28, 53, 80]",From Dusk Till Dawn,1996-01-19,20000000.0,25728961.0,25732986.0,1.28644805,1.2866493,1996
Frontera,"[37, 18]",Frontera,2014-09-05,2300000.0,59696.0,59696.0,0.025954782608695652,0.025954782608695652,2014
Frozen,[53],Frozen,2013-11-22,150000000.0,400738009.0,1272469910.0,2.671586726666667,8.483132733333333,2013
Frozen,"[16, 12, 10751]",Frozen,2013-11-22,150000000.0,400738009.0,1272469910.0,2.671586726666667,8.483132733333333,2013
Fruitvale Station,[18],Fruitvale Station,2013-07-12,900000.0,16098998.0,17549645.0,17.887775555555557,19.499605555555554,2013
Fun Size,[35],Fun Size,2012-10-26,14000000.0,9409538.0,11166615.0,0.6721098571428571,0.7976153571428571,2012
Furious 7,"[28, 80, 53]",Furious 7,2015-04-03,190000000.0,353007020.0,1518722794.0,1.8579316842105262,7.9932778631578945,2015
Furry Vengeance,"[35, 10751]",Furry Vengeance,2010-04-30,35000000.0,17630465.0,39340177.0,0.5037275714285714,1.124005057142857,2010
Fury,"[10752, 18, 28]",Fury,2014-10-17,80000000.0,85817906.0,210315681.0,1.072723825,2.6289460125,2014
G.I. Joe: Retaliation,"[12, 28, 878, 53]",G.I. Joe: Retaliation,2013-03-27,140000000.0,122523060.0,375740705.0,0.8751647142857143,2.6838621785714287,2013
Game Night,"[9648, 35, 80]",Game Night,2018-02-23,37000000.0,69179066.0,117378084.0,1.8697044864864865,3.1723806486486485,2018
Gangster Squad,"[80, 18, 28, 53]",Gangster Squad,2013-01-11,60000000.0,46000903.0,104100903.0,0.7666817166666666,1.73501505,2013
Genius,"[18, 36]",Genius,2016-06-10,17000000.0,1361045.0,7265283.0,0.08006147058823529,0.42736958823529414,2016
Geostorm,"[28, 878, 53]",Geostorm,2017-10-20,100000000.0,33700160.0,220796009.0,0.3370016,2.20796009,2017
Geostorm,"[28, 878, 53]",Geostorm,2017-10-20,100000000.0,33700160.0,220796009.0,0.3370016,2.20796009,2017
Get Hard,[35],Get Hard,2015-03-27,40000000.0,90411453.0,106511453.0,2.260286325,2.662786325,2015
Get Him to the Greek,[35],Get Him to the Greek,2010-06-04,40000000.0,61153526.0,91455875.0,1.52883815,2.286396875,2010
Get Low,"[35, 18, 9648]",Get Low,2010-07-30,7000000.0,9176933.0,10828305.0,1.3109904285714287,1.5469007142857143,2010
Get Out,"[35, 16]",Get Out,2017-02-24,5000000.0,176040665.0,255367951.0,35.208133,51.0735902,2017
Get Out,"[9648, 53, 27]",Get Out,2017-02-24,5000000.0,176040665.0,255367951.0,35.208133,51.0735902,2017
Get on Up,"[18, 10402]",Get on Up,2014-08-01,30000000.0,30569935.0,33339868.0,1.0189978333333334,1.1113289333333334,2014
Getaway,"[28, 80]",Getaway,2013-08-30,18000000.0,10501938.0,11813989.0,0.583441,0.6563327222222223,2013
Gettysburg,[99],Gettysburg,1993-10-08,25000000.0,10731997.0,10731997.0,0.42927988,0.42927988,1993
Ghost,"[10751, 35]",Призрак,1990-07-13,22000000.0,217631306.0,517600000.0,9.892332090909091,23.527272727272727,1990
Ghost Rider: Spirit of Vengeance,"[28, 14, 53]",Ghost Rider: Spirit of Vengeance,2012-02-17,57000000.0,51774002.0,149217355.0,0.9083158245614035,2.6178483333333333,2012
Ghost in the Shell,"[28, 878, 53, 18]",Ghost in the Shell,2017-03-31,110000000.0,40563557.0,167910690.0,0.3687596090909091,1.5264608181818182,2017
Ghostbusters,"[28, 14, 35]",Ghostbusters,2016-07-15,144000000.0,128350574.0,229008658.0,0.8913234305555555,1.5903379027777778,2016
Ghostbusters,"[28, 14, 35]",Ghostbusters,1984-06-08,30000000.0,242212467.0,295212467.0,8.0737489,9.840415566666668,1984
Gifted,"[18, 10751, 35]",Gifted,2017-04-07,7000000.0,24801212.0,36964656.0,3.543030285714286,5.280665142857143,2017
Girls Gone Dead,"[27, 35]",Girls Gone Dead,2012-07-17,500000.0,0.0,0.0,0.0,0.0,2012
Girls Trip,[35],Girls Trip,2017-07-21,28000000.0,115108515.0,140886353.0,4.111018392857143,5.0316554642857145,2017
Give Me Shelter,[99],Give Me Shelter,2015-02-24,250000.0,0.0,0.0,0.0,0.0,2015
Gloria,"[35, 18]",Gloria,1999-01-22,30000000.0,4167493.0,4967493.0,0.13891643333333334,0.1655831,1999
Gods of Egypt,"[28, 12, 14, 878]",Gods of Egypt,2016-02-26,140000000.0,31153464.0,138836756.0,0.22252474285714285,0.9916911142857143,2016
Godzilla,"[28, 18, 878]",Godzilla,2014-05-16,160000000.0,200676069.0,529076069.0,1.25422543125,3.30672543125,2014
Godzilla,"[28, 18, 878]",Godzilla,1998-05-19,125000000.0,136314294.0,376000000.0,1.090514352,3.008,1998
Going in Style,"[80, 35]",Going in Style,2017-04-07,24000000.0,45018541.0,78672579.0,1.8757725416666666,3.278024125,2017
Going the Distance,"[35, 18, 10749]",Going the Distance,2010-09-03,32000000.0,17804299.0,43603990.0,0.55638434375,1.3626246875,2010
Gone Girl,"[9648, 53, 18]",Gone Girl,2014-10-03,61000000.0,167767189.0,368567189.0,2.750281786885246,6.042085065573771,2014
