,genre_ids,original_title,release_date,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,release_year
Bullet to the Head,"[28, 80, 53]",Bullet to the Head,2013-02-01,55000000.0,9489829.0,22597969.0,0.17254234545454544,0.41087216363636364,2013
Bully,"[99, 18]",Bully,2001-07-13,2100000.0,881824.0,1381824.0,0.4199161904761905,0.6580114285714286,2001
Bumblebee,"[28, 12, 878]",Bumblebee,2018-12-21,102000000.0,127195589.0,465195589.0,1.2470155784313726,4.5607410686274505,2018
Buried,"[18, 53, 9648]",Buried,2010-09-24,1987650.0,1044143.0,21270290.0,0.5253153221140543,10.701225064774986,2010
Burlesque,"[18, 10749]",Burlesque,2010-11-24,55000000.0,39440655.0,90552675.0,0.7171028181818182,1.6464122727272728,2010
Burn,"[28, 80, 27, 53]",Burn,2012-07-20,225000.0,1109276.0,1109276.0,4.930115555555555,4.930115555555555,2012
Burn,[99],Burn,2012-07-20,225000.0,1109276.0,1109276.0,4.930115555555555,4.930115555555555,2012
Burnt,"[18, 35]",Burnt,2015-10-30,20000000.0,13651946.0,36773510.0,0.6825973,1.8386755,2015
Burnt,"[18, 35]",Burnt,2015-10-30,20000000.0,13651946.0,36773510.0,0.6825973,1.8386755,2015
Butterfly,"[53, 27]",Butterfly,2010-12-31,250000.0,0.0,0.0,0.0,0.0,2010
Butterfly Girl,[99],Butterfly Girl,2015-02-27,180000.0,17503.0,17503.0,0.09723888888888889,0.09723888888888889,2015
By the Sea,"[18, 10749]",By the Sea,2015-11-13,20000000.0,538460.0,3727746.0,0.026923,0.1863873,2015
CHiPS,"[28, 35, 80]",CHiPS,2017-03-24,25000000.0,18600152.0,23190292.0,0.74400608,0.92761168,2017
Ca$h,"[80, 53, 35, 9648]",Ca$h,2008-12-31,13700000.0,0.0,11738256.0,0.0,0.8568070072992701,2008
Ca$h,"[80, 53, 35, 9648]",Ca$h,2010-03-26,7000000.0,46488.0,46488.0,0.006641142857142857,0.006641142857142857,2010
Cabin Fever,[27],Cabin Fever,2003-09-12,1500000.0,21158188.0,30351664.0,14.105458666666667,20.234442666666666,2003
Camp X-Ray,[18],Camp X-Ray,2014-10-17,1000000.0,9837.0,101053.0,0.009837,0.101053,2014
Can You Ever Forgive Me?,"[18, 80]",Can You Ever Forgive Me?,2018-10-19,10000000.0,8803865.0,11752387.0,0.8803865,1.1752387,2018
Captain America: Civil War,"[12, 28, 878]",Captain America: Civil War,2016-05-06,250000000.0,408084349.0,1140069413.0,1.632337396,4.560277652,2016
Captain America: The First Avenger,"[28, 12, 878]",Captain America: The First Avenger,2011-07-22,140000000.0,176654505.0,370569776.0,1.2618178928571429,2.6469269714285715,2011
Captain America: The Winter Soldier,"[28, 12, 878]",Captain America: The Winter Soldier,2014-04-04,170000000.0,259746958.0,714401889.0,1.5279232823529412,4.202364052941176,2014
Captain Phillips,"[28, 18, 53]",Captain Phillips,2013-10-11,55000000.0,107136417.0,220648184.0,1.9479348545454545,4.011785163636364,2013
Captain Underpants: The First Epic Movie,"[28, 16, 35, 10751]",Captain Underpants: The First Epic Movie,2017-06-02,38000000.0,73921000.0,126577874.0,1.9452894736842106,3.3309966842105263,2017
Captive,[18],Captive,2015-09-18,2000000.0,2583301.0,2791973.0,1.2916505,1.3959865,2015
Captive,"[80, 18, 53]",Captive,2015-09-18,2000000.0,2583301.0,2791973.0,1.2916505,1.3959865,2015
Captive,[27],Captive,2015-09-18,2000000.0,2583301.0,2791973.0,1.2916505,1.3959865,2015
Cargo,"[18, 53]",Cargo,2011-10-21,4200000.0,0.0,313230.0,0.0,0.07457857142857142,2011
Cargo,"[14, 18]",Cargo,2011-10-21,4200000.0,0.0,313230.0,0.0,0.07457857142857142,2011
Cargo,"[18, 53, 12, 27]",Cargo,2011-10-21,4200000.0,0.0,313230.0,0.0,0.07457857142857142,2011
Carlos,"[80, 18, 53, 36]",Carlos,2010-10-15,18000000.0,145526.0,1619153.0,0.008084777777777778,0.08995294444444445,2010
Carnage,"[35, 18]",Carnage,2011-12-16,25000000.0,2546747.0,38112154.0,0.10186988,1.52448616,2011
Carol,"[10749, 18]",Carol,2015-11-20,11800000.0,12711491.0,42843521.0,1.077245,3.6308068644067797,2015
Carol,"[10749, 18]",Carol,2015-11-20,11800000.0,12711491.0,42843521.0,1.077245,3.6308068644067797,2015
