,genre_ids,original_title,title,release_date,movie,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,domestic_return%,worldwide_return%,release_year,release_day,release_month
27,"[28, 12, 10751, 14]",The Last Airbender,The Last Airbender,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,225000000.0,423315812.0,1066215812.0,88.14036088888889,373.87369422222224,88.14036088888889,373.87369422222224,2006,Friday,July
28,"[28, 878, 12, 53]",Predators,Predators,2013-06-14,Man of Steel,225000000.0,291045518.0,667999518.0,29.353563555555557,196.88867466666667,29.353563555555557,196.88867466666667,2013,Friday,June
29,[18],The Social Network,The Social Network,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000.0,141621490.0,417341288.0,-37.057115555555555,85.4850168888889,-37.057115555555555,85.4850168888889,2008,Friday,May
30,"[28, 53]",Undisputed III: Redemption,Undisputed III: Redemption,2012-07-03,The Amazing Spider-Man,220000000.0,262030663.0,757890267.0,19.104846818181816,244.4955759090909,19.104846818181816,244.4955759090909,2012,Tuesday,July
31,"[18, 36]",Apollo 13,Apollo 13,2012-05-18,Battleship,220000000.0,65233400.0,313477717.0,-70.34845454545454,42.48987136363636,-70.34845454545454,42.48987136363636,2012,Friday,May
32,"[28, 53, 878, 12]",Armageddon,Armageddon,2017-06-21,Transformers: The Last Knight,217000000.0,130168683.0,602893340.0,-40.01443179723502,177.8310322580645,-40.01443179723502,177.8310322580645,2017,Wednesday,June
33,"[28, 18, 9648, 53]",The Bourne Ultimatum,The Bourne Ultimatum,2015-06-12,Jurassic World,215000000.0,652270625.0,1648854864.0,203.38168604651165,666.9092390697674,203.38168604651165,666.9092390697674,2015,Friday,June
34,"[12, 14, 28]",Clash of the Titans,Clash of the Titans,2012-05-25,Men in Black 3,215000000.0,179020854.0,654213485.0,-16.734486511627907,204.2853418604651,-16.734486511627907,204.2853418604651,2012,Friday,May
35,"[35, 10749]",The Back-Up Plan,The Back-Up Plan,2009-06-24,Transformers: Revenge of the Fallen,210000000.0,402111870.0,836519699.0,91.48184285714287,298.34271380952384,91.48184285714287,298.34271380952384,2009,Wednesday,June
36,"[28, 12, 18]",Robin Hood,Robin Hood,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076.0,1104039076.0,16.875750476190476,425.7328933333333,16.875750476190476,425.7328933333333,2014,Friday,June
37,"[35, 14, 10751]",Nanny McPhee and the Big Bang,Nanny McPhee and the Big Bang,2006-05-26,X-Men: The Last Stand,210000000.0,234362462.0,459260946.0,11.60117238095238,118.69568857142858,11.60117238095238,118.69568857142858,2006,Friday,May
38,"[35, 12, 14, 16, 10751]",Shrek Forever After,Shrek Forever After,2010-05-14,Robin Hood,210000000.0,105487148.0,322459006.0,-49.76802476190476,53.551907619047626,-49.76802476190476,53.551907619047626,2010,Friday,May
39,[35],Easy A,Easy A,2005-12-14,King Kong,207000000.0,218080025.0,550517357.0,5.352669082125604,165.95041400966184,5.352669082125604,165.95041400966184,2005,Wednesday,December
40,"[14, 12, 28, 35, 18]",The Sorcerer's Apprentice,The Sorcerer's Apprentice,2007-12-07,The Golden Compass,205000000.0,70107728.0,367262558.0,-65.80110829268293,79.15246731707317,-65.80110829268293,79.15246731707317,2007,Friday,December
41,"[28, 35, 10749]",Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,2018-02-16,Black Panther,200000000.0,700059566.0,1348258224.0,250.029783,574.129112,250.029783,574.129112,2018,Friday,February
43,"[35, 10749]",Some Like It Hot,Some Like It Hot,2018-06-15,Incredibles 2,200000000.0,608581744.0,1242520711.0,204.29087199999998,521.2603555000001,204.29087199999998,521.2603555000001,2018,Friday,June
